book_id,title,average_rating,similar_books,image_url,ratings_count,cleaned_description
15677,Strangers on a Train,3.82,"['439162', '591354', '437856', '56616', '140590', '1946070', '19161905', '648640', '102066', '309434', '213980', '459421', '439283', '30007', '166912', '565816', '7147962', '2008348']",https://images.gr-assets.com/books/1331234879m/15677.jpg,10121,"the world of patricia highsmith has always been filled with ordinary people, all of whom are capable of very ordinary crimes. this theme was present from the beginning, when her debut novel, strangers on a train, galvanized the reading public. here we encounter guy haines and charles anthony bruno, passengers on the same train. but while guy is a successful architect in the midst of a divorce, bruno turns out to be a sadistic psychopath who manipulates guy into swapping murders with him. ""some people are better off dead,"" bruno remarks, ""like your wife and my father, for instance."" as bruno carries out his twisted plan, guy is trapped in highsmith's perilous world, where, under the right circumstances, anybody is capable of murder. the inspiration for alfred hitchcock's classic 1951 film, strangers on a trainlaunched highsmith on a prolific career of noir fiction, proving her a master at depicting the unsettling forces that tremble beneath the surface of everyday contemporary life."
17668078,"Skin Deep (Skin Deep, #1)",3.99,"['16282286', '17842627', '17909630', '17286359', '17976745', '25156033', '17876030', '18102898', '17902136', '17283753', '17859911', '17730464', '17413124', '18302979', '24752460', '18211118', '17860266']",https://images.gr-assets.com/books/1366407756m/17668078.jpg,9715,"oh, who was she kidding? emma knew that going to the tattoo shop with her best friend, allie, would result in getting badgered until she ended up with some sort of needle piercing her flesh in one way or another. what she didn't plan on was ending up face-first on the floor of the shop with a busted lip. or doing it in front of the hottest guy she'd seen since...well, ever. mortified, emma never thought she'd ever step foot back in skin deep again. but fate, with a little help from emma's flighty best friend and a chance encounter with a fudge bar, steps in. now emma's torn between taking a chance on getting her heart broken by the enigmatic, gorgeous lucas, and playing it safe with good ol' trusty b.o.b. lucas lets emma know that he gets what he wants, and what he wants is her. when emma gives in and quits pushing him away, she's surprised at how quickly the walls around her heart crumble. she's even more surprised that her unconventional, zany family just endears her even more to him. but no one knows there's someone that wants her more, and they'll stop at nothing to get her. recommended for readers 18+ due to hot sexual encounters, adult situations, and language."
14069,"Throne of Jade (Temeraire, #2)",3.89,"['271356', '74273', '2305862', '15793208', '6375862', '17910078', '7904453', '333356', '880461', '10301749', '13996', '70581', '285208', '3298088', '61904', '821583', '6306686']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,23624,"when britain intercepted a french ship and its precious cargo-an unhatched dragon's egg-capt. will laurence of hms reliant unexpectedly became master and commander of the noble dragon he named temeraire. as new recruits in britain's aerial corps, man and dragon soon proved their mettle in daring combat against bonaparte's invading forces. now china has discovered that its rare gift, intended for napoleon, has fallen into british hands-and an angry chinese delegation vows to reclaim the remarkable beast. but laurence refuses to cooperate. facing the gallows for his defiance, laurence has no choice but to accompany temeraire back to the far east-a long voyage fraught with peril, intrigue, and the untold terrors of the deep. yet once the pair reaches the court of the chinese emperor, even more shocking discoveries and darker dangers await."
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,"['2767793', '9300768', '6342483', '8253920', '55398', '6585201', '45108', '2890090', '47957', '3428935', '1140216']",https://images.gr-assets.com/books/1472068073m/186074.jpg,416634,"told in kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen. the intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature. a high-action story written with a poet's hand, the name of the windis a masterpiece that will transport readers into the body and mind of a wizard."
13647325,Jumbo,3.07,"['12240206', '18215609', '13606505', '20257657', '32575169', '18077265', '12743792', '23591597', '16114592', '2015624', '2904213', '5321439', '25111205', '18333656', '2055859', '15771375', '18245756', '11928920']",https://images.gr-assets.com/books/1412350554m/13647325.jpg,300,"mitchell has a problem. he's a little too small where it counts. the guys on the swim team have started calling him jumbo -- a cruel joke -- and meanwhile he's in love with his best friend, luke. but when mitchell starts receiving love letters in his locker, can they really be from luke? or are they from someone big enough to love him just the way he is?"
477338,"Blue is for Nightmares (Blue is for Nightmares, #1)",3.81,"['814487', '333938', '181437', '394749', '6321718', '53135']",https://images.gr-assets.com/books/1350054787m/477338.jpg,16033,"i know your secret... stacey's junior year at boarding school isn't easy. she's not the most popular girl at school, or the smartest, or the prettiest. she's got a crush on her best friend's boyfriend, and an even darker secret that threatens to ruin her friendships for good. and now she's having nightmares again. not just any nightmares - these dreams are too real to ignore, like she did three years ago. the last time she ignored them, a little girl died. this time they're about drea, her best friend who's become the target of one seriously psycho stalker. it started with weird e-mails and freaky phone calls. now someone's leaving drea white lilies - the same death lilies that have been showing up in stacey's dreams. everybody thinks it's just a twisted game . . . until another girl at school is brutally murdered. there are no witnesses. worst of all, no one has a perfect alibi. with everyone as a potential suspect, stacey turns to the one secret weapon she can trust - the folk magic taught to her by her grandmother. will stacey's magic be strong enough to expose the true killer, or will the killer make her darkest nightmares come true? in this deluxe spellbook edition you'll find:spells created by you and other keepers of secrets-poems, spells and meditations contributed by fans of this popular series. extras also include an interview with the author."
12015809,A Solid Core of Alpha,4.01,"['16174363', '22575681', '18694013', '20709669', '12015786', '18619542', '7644545', '17370712', '12323800', '13346044', '8986467', '426545', '10847425', '11420894', '18073225', '17803746', '18306804', '9671968']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1289,"in an act of heroism and self-sacrifice, anderson rawn's sister saved him from the destruction of their tiny mining colony, but her actions condemned the thirteen-year-old to ten years of crushing loneliness on the hyperspace journey to a new home. using electronics and desperation, anderson creates a family to keep him company, but family isn't always a blessing. when anderson finally arrives, c.j. poulson greets him with curiosity and awe, because anyone who can survive a holocaust and reinvent holo-science is going to be a legend and right up c.j.'s alley. but the more c.j. investigates how anderson endured the last ten years, the deeper he is drawn into a truly dangerous fantasy, one that offers the key to anderson's salvation--and his destruction. in spite of his best intentions, c.j. can't resist the terribly seductive anderson. their attraction threatens to destroy them, because the heart of a man who can survive the destruction of his people and retain his sense of self holds a solid core of alpha male that will not be denied."
12792988,"Chosen Ones (The Lost Souls, #1)",3.71,"['11647944', '10634286', '12797906', '6931234', '11468074', '11185432', '12367267', '10194637', '12814540', '11362198', '10352973', '12924426', '13425149', '11850771', '10535458', '12432229', '9277339', '11250671']",https://images.gr-assets.com/books/1324530042m/12792988.jpg,2900,"life is bleak but uncomplicated for sixteen-year-old tess, living in a not-too-distant future where the government, faced with humanity's extinction, created the chosen ones, artificial beings who are extraordinarily beautiful, unbelievably strong, and unabashedly deadly.when tess begins work at templeton, a chosen ones training facility, she meets james, and the attraction is immediate in its intensity, overwhelming in its danger. but there is more to templeton than tess ever knew. can she stand against her oppressors, even if it means giving up the only happiness in her life?"
363391,"The Unknown (Animorphs, #14)",3.64,"['331851', '1071343', '6623517', '8873458', '125594']",https://images.gr-assets.com/books/1327890558m/363391.jpg,2960,"there's a new rumor in town. someone has discovered an item that proves life on other planets exists. and they've been hiding it on a base called zone 91. the most secret place on earth. cassie, the other animorphs, and ax already know about life on other planets. too well. they also realize the yeerks will try to access zone 91 to find out if what's there will threaten their mission. so the animorphs decide to pay zone 91 and the yeerks a little visit. but what they discover is not at all what they expect."
13449677,"The Collector (Dante Walker, #1)",3.55,"['17696369', '21946861', '18545084', '14741366', '13326795', '25792864', '13055677', '15768498', '16046507', '13494365', '17208007', '10346185', '13665100', '12081652']",https://images.gr-assets.com/books/1363269053m/13449677.jpg,7810,"he makes good girls...bad. dante walker is flippin' awesome, and he knows it. his good looks, killer charm, and stellar confidence have made him one of hell's best--a soul collector. his job is simple: weed through humanity and label those round rears with a big red good or bad stamp. old saint nick gets the good guys, and he gets the fun ones. bag-and-tag. sealing souls is nothing personal. dante's an equal-opportunity collector and doesn't want it any other way. but he'll have to adjust, because boss man has given him a new assignment: collect charlie cooper's soul within ten days. dante doesn't know why boss man wants charlie, nor does he care. this assignment means only one thing to him, and that's a permanent ticket out of hell. but after dante meets the quirky nerd alert chick he's come to collect, he realizes this assignment will test his abilities as a collector...and uncover emotions deeply buried."
31549837,A Love Letter to Whiskey,4.32,[],https://images.gr-assets.com/books/1474899327m/31549837.jpg,3569,"it's crazy how fast the buzz comes back after you've been sober for so long. whiskey stood there, on my doorstep, just like he had one year before. except this time, there was no rain, no anger, no wedding invitation -- it was just us. it was just him -- the old friend, the easy smile, the twisted solace wrapped in a glittering bottle. it was just me -- the alcoholic, pretending like i didn't want to taste him, realizing too quickly that months of being clean didn't make me crave him any less. but we can't start here. no, to tell this story right, we need to go back. back to the beginning. back to the very first drop. this is my love letter to whiskey. i only hope he reads it."
17950614,"UnDivided (Unwind, #4)",4.48,"['15835877', '13602969', '16101515', '15741928', '18050728', '7540092', '13414927', '16044987', '20359647', '18215086', '13424356', '17607716', '11356936', '17559899', '9759297', '12568641', '15747708', '10596724']",https://images.gr-assets.com/books/1392097377m/17950614.jpg,11857,"teens control the fate of america in the fourth and final book in the new york times bestselling unwind dystology by neal shusterman. proactive citizenry, the company that created cam from the parts of unwound teens, has a plan: to mass produce rewound teens like cam for military purposes. and below the surface of that horror lies another shocking level of intrigue: proactive citizenry has been suppressing technology that could make unwinding completely unnecessary. as conner, risa, and lev uncover these startling secrets, enraged teens begin to march on washington to demand justice and a better future. but more trouble is brewing. starkey's group of storked teens is growing more powerful and militant with each new recruit. and if they have their way, they'll burn the harvest camps to the ground and put every adult in them before a firing squad--which could destroy any chance america has for a peaceful future."
147843,"Green Rider (Green Rider, #1)",4.09,"['987508', '2880573', '111012', '13920', '641910', '1022209', '66317', '176789', '21060', '129312', '264065', '720977']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,24461,"on her long journey home from school after a fight which will surely lead to her expulsion, karigan g'ladheon ponders her future as she trudges through the immense forest called green cloak. but her thoughts are interrupted by the clattering of hooves as a galloping horse bursts from the woods, the rider slumped over his mount's neck, impaled by two black-shafted arrows. as the young man lies dying on the road, he tells karigan that he is a green rider, one of the legendary messengers of the king, and that he bears a ""life and death"" message for king zachary. he begs karigan to carry his message, warning her not to read it, and when she reluctantly agrees, he makes her swear on his sword to complete his mission ""for love of country."" as he bestows upon her the golden winged-horse brooch which is the symbol of his office, he whispers on his dying breath, ""beware the shadow man..."" karigan's promise changes her life forever. pursued by unknown assassins, following a path only her horse seems to know, and accompanied by the silent specter of the original messenger, she herself becomes a legendary green rider. caught up in a world of deadly danger and complex magic, compelled by forces she cannot understand, karigan is hounded by dark beings bent on seeing that the message, and its reluctant carrier, never reach their destination."
4954833,Brooklyn,3.63,"['6450817', '5807187', '3419808', '8179326', '147848', '15995144', '2524702', '556863', '782982', '304209', '1439038', '26919', '6081981', '3967936', '195990']",https://images.gr-assets.com/books/1489957005m/4954833.jpg,57213,"colm toibin's sixth novel, brooklyn, is set in brooklyn and ireland in the early 1950s, when one young woman crosses the ocean to make a new life for herself.eilis lacey has come of age in small-town ireland in the hard years following world war two. when an irish priest from brooklyn offers to sponsor eilis in america -- to live and work in a brooklyn neighborhood ""just like ireland"" -- she decides she must go, leaving her fragile mother and her charismatic sister behind. eilis finds work in a department store on fulton street, and when she least expects it, finds love. tony, who loves the dodgers and his big italian family, slowly wins her over with patient charm. but just as eilis begins to fall in love with tony, devastating news from ireland threatens the promise of her future."
17730406,"Love Thy Neighbour (Friend-Zoned, #2)",4.21,"['1842687', '18660750', '18593366', '16146206', '21796060', '26595112', '3367877', '20982872', '13184992', '17825218', '13421865', '17698360', '25943218', '17287766', '13524900']",https://images.gr-assets.com/books/1369628346m/17730406.jpg,14879,asher 'ghost' collins and natalie kovac shared a passionate night together. one neither of them can forget. so why is it so hard for them to be around each other? with no hope of the two getting along they decide to go their separate ways. and somehow end up closer than they've ever been. will friendship ever be enough for the pair?
16131466,"Dead Sexy Dragon (Dragon Heat, #1)",3.38,"['17660564', '17798617', '10551102', '17877290', '17332297', '17876382', '13548092', '21520851', '13516062', '18218005', '17902672', '17884655', '17189712', '15775190', '31393676', '29853753', '17370986', '21544875']",https://images.gr-assets.com/books/1408777351m/16131466.jpg,1169,"the last thing dragon shifter stig wyvern needs is his dead friend's kid sister showing up on his doorstep. he's just minutes away from entering a mating phase. sharing his isolated house with the young woman he's desperately lusted after for quite some time is a recipe for disaster. but cora cardenas has nowhere else to go. she's in deep trouble with some really nasty people and stig is the only one who can protect her. that he's deliciously sexy and makes her tingle with the simplest of smiles is just a bonus. cora quickly realizes stig is hiding something from her. to make matters worse, she's plagued with breathtakingly naughty dreams starring a shadowed lover who bears a startling resemblance to her host. and just what the hell is going on down in the basement at night? stig needs to get cora out of his house but his inner beast has other ideas. he's found his mate and she's not going anywhere..."
11930007,"Pretty Guardian Sailor Moon, Vol. 4 (Pretty Soldier Sailor Moon Renewal Edition, #4)",4.44,"['8675569', '26237', '25861113', '17899423', '11032796', '642459', '8113170']",https://images.gr-assets.com/books/1463248720m/11930007.jpg,3795,"a new group calling themselves black moon is after usagi and the rest of the sailor guardians, wielding a new power known only as the malefic black crystal. chibi-usa may be the key to it all, but to find the answers and rescue her kidnapped friends, usagi will have to journey through time to the 30th century and discover what fate has in store. this new edition of sailor moon features: - an entirely new, incredibly accurate translation - japanese-style, right-to-left reading - new cover art never before seen in the u.s. - the original japanese character names - detailed translation notes"
2444787,"An Expert in Murder (Josephine Tey, #1)",3.46,"['1633075', '8844756', '891760', '7015533', '1735214', '1793992', '12913059', '10821314', '1397260', '3330261', '6274092', '1094874', '6283614', '345007', '482062', '8884617', '72750', '20234']",https://images.gr-assets.com/books/1356455991m/2444787.jpg,1833,"a brilliant and original fiction debut set in the exotic world of 1930s british theatre. march 1934. revered mystery writer josephine tey is traveling from scotland to london for the final week of her celebrated play ""richard of bordeaux,"" but joy turns to horror when her arrival coincides with the murder of a young woman she had befriended on the train ride, and tey quickly finds herself plunged into a mystery as puzzling as any of those in her own works. detective inspector archie penrose is convinced that the killing is connected to her play. ""richard of bordeaux"" has been the surprise hit of the season, with pacifist themes that strike a chord in a world still haunted by war. now, however, it seems that tey could become the victim of her own success, as her reputation--and even her life--is put at risk. a second murder confirms penrose's suspicions that somewhere among this flamboyant theatre set is a ruthless and spiteful killer. together, penrose and tey must confront their own ghosts in search of someone who will stop at nothing. an expert in murderis both a tribute to one of the most enduringly popular writers of crime and a richly atmospheric detective novel in its own right."
18745159,"Poison Promise (Elemental Assassin, #11)",4.17,"['15837539', '20631613', '20556438', '19548279', '34724910', '18482271', '20525294', '17333269', '15765529', '18079492', '16065477', '15748529', '17573932', '15816410', '16158553', '13542994']",https://images.gr-assets.com/books/1386568349m/18745159.jpg,4355,"gin blanco is hard-nosed, sexy, and lethal. nicknamed ""the spider,"" she's a stone elemental assassin who brings her unique mix of magic and tact to every assignment, no matter the target. there's a new drug on the streets of ashland, and its name ""burn"" sums up the potent effect it has on its users. when one of her restaurant employees is threatened by dealers of the drug, gin steps in to set things straight..."
28963772,"Four Letter Word (Dirty Deeds, #1)",3.94,"['30043618', '29336456', '29104680', '30624836', '29541797', '27190530', '26181560', '25817470', '29991719', '27774345', '23150548', '26097165', '30231237', '27276297', '28116121', '32195722', '25510924', '25865290']",https://images.gr-assets.com/books/1463949483m/28963772.jpg,5306,"fate. hate. love. lies. which four letter word will change their lives forever? sydney paige was never so mortified to hear the words ""wrong number"" in her life. she meant to tell off the guy who broke her best friend's heart but unleashed her anger on a perfect stranger instead. and now her world is turned upside down by the captivating man who wants to keep her on the line. brian savage is living a life he's quickly come to hate-until sydney's wild rant has him hooked and hungry for more. soon the sexy woman on the phone becomes the lover in his bed. but brian has secrets, and the closer he lets syd get, the harder it is to shield her from the devastating mistakes of his past . . ."
8683812,The Paris Wife,3.79,"['10054335', '13069244', '11356275', '13056159', '10518423', '9689093', '8582344', '898885', '10032672', '3591262', '13485500', '13092691', '9999107', '9678825', '17456328', '9746256', '9418326', '8689913']",https://images.gr-assets.com/books/1320545874m/8683812.jpg,195263,"a deeply evocative story of ambition and betrayal, the paris wife captures a remarkable period of time and a love affair between two unforgettable people: ernest hemingway and his wife hadley. chicago, 1920: hadley richardson is a quiet twenty-eight-year-old who has all but given up on love and happiness--until she meets ernest hemingway and her life changes forever. following a whirlwind courtship and wedding, the pair set sail for paris, where they become the golden couple in a lively and volatile group--the fabled ""lost generation""--that includes gertrude stein, ezra pound, and f. scott and zelda fitzgerald. though deeply in love, the hemingways are ill prepared for the hard-drinking and fast-living life of jazz age paris, which hardly values traditional notions of family and monogamy. surrounded by beautiful women and competing egos, ernest struggles to find the voice that will earn him a place in history, pouring all the richness and intensity of his life with hadley and their circle of friends into the novel that will become the sun also rises. hadley, meanwhile, strives to hold on to her sense of self as the demands of life with ernest grow costly and her roles as wife, friend, and muse become more challenging. despite their extraordinary bond, they eventually find themselves facing the ultimate crisis of their marriage--a deception that will lead to the unraveling of everything they've fought so hard for. a heartbreaking portrayal of love and torn loyalty, the paris wife is all the more poignant because we know that, in the end, hemingway wrote that he would rather have died than fallen in love with anyone but hadley."
12985143,"Hemlock (Hemlock, #1)",3.9,"['11362198', '10560849', '12872080', '11702088', '9277339', '13414964', '10479750', '12180240', '11836562', '10194637', '9542582', '10808965', '11378402', '12690572', '9396162', '11388429', '12432229', '9860837']",https://images.gr-assets.com/books/1321469061m/12985143.jpg,9264,"mackenzie and amy were best friends. until amy was brutally murdered. since then, mac's life has been turned upside down. she is being haunted by amy in her dreams, and an extremist group called the trackers has come to mac's hometown of hemlock to hunt down amy's killer: a white werewolf. lupine syndrome - also known as the werewolf vius - is on the rise across the country. many of the infected try to hide their symptoms, but bloodlust is not easy to control. wanting desperately to put an end to her nightmares, mac decides to investigate amy's murder herself. she discovers secrets lurking in the shadows of hemlock, secrets about amy's boyfriend, jason, her good pal kyle, and especially her late best friend. mac is thrown into a maelstrom of violence and betrayal that puts her life at risk. kathleen peacock's thrilling novel is the first in the hemlock trilogy, a spellbinding urban fantasy series filles with provocative questions about prejudice, trust, lies, and love."
6936382,"Anna and the French Kiss (Anna and the French Kiss, #1)",4.07,"['7417780', '5819551', '7664334', '12813860', '7137775', '10637697', '17233800', '9462775', '6609714', '6584188', '13188003', '12154294', '781132', '10327303', '7106964', '6882274', '3521484', '10801027']",https://images.gr-assets.com/books/1358271931m/6936382.jpg,267364,"anna is looking forward to her senior year in atlanta, where she has a great job, a loyal best friend, and a crush on the verge of becoming more. which is why she is less than thrilled about being shipped off to boarding school in paris--until she meets etienne st. clair. smart, charming, beautiful, etienne has it all...including a serious girlfriend. but in the city of light, wishes have a way of coming true. will a year of romantic near-misses end with their long-awaited french kiss?"
