,user_id,book_id,review_id,rating,review_text,date_added,date_updated,read_at,started_at,n_votes,n_comments
1283819,4149e1a505bcac3aab0e4d485f1f462e,18053060,cda37b625ff18219aca765f02d821262,2,"I don't mean to be unkind to this book when rating it, because it was truly entertaining and it was easy to get lost in the characters and in the plot. However, I found a lot of places where it just seemed like the author forgot a lot of what she was writing as she wrote it. Something would be explained to the main character, Amy, and then not even a few paragraphs later it was as if she hadn't ever known it and was learning it (again) for the first time when a different character explained it to her. Events got the same treatment. I found this to be distracting and confusing, and I frequently had to wonder if, since this happened so often, was it by design or just sloppiness? I kept thinking that at some point it would all come together and I'd realize by the last page that it only LOOKED sloppy, even though I found it hard to figure out how in the world most of this forgetfulness could be explained. But, unfortunately, that didn't happen. Still, this is just the first book so maybe it will be explained in another book, after all. 
 As I said before, though, this book is entertaining and easy to get lost in, despite that. I was interested to see what was going to happen to Amy, or to her Oz acquaintances, next. And there was a twist at the end that I definitely did NOT see coming at all. When it happened, I had to reread the paragraph a few times!! 
 I liked Amy's upbringing, as well. Not because I think someone deserves that, but because I think it's very relatable to a lot of young people, especially today. A cheating father who walked out on the family so that he could start a new one, a mother who used to be a great mom but became so bogged down by stress and sadness, and possibly depression, over her circumstances that she essentially gave up and became an alcoholic and left Amy not only to basically raise herself but to take care of her mother, as well. Bullies at school, not popular. Having been accustomed to a much better life when her family was whole only to end up having to live in a trailer park. But, despite that, she still had goals she wanted to accomplish, even if they were just personal goals that were to get her from one place to more comfortable other place. 
 This is a character that a lot of people can relate to, and I'm glad that she has this background. I'm more used to characters who come from more conventional families with both parents present. And if they aren't, something tragic and unforeseen has happened to make that occur, or they're workaholics. Characters with backgrounds like this are also relatable and necessary, I don't mean to imply that they should be abandoned. But, when that's really all the variation you get most of the time, there are LOTS of kids out there who don't have home lives that look at all like that who aren't getting represented. I think Amy Gumm's character is great not just because I find her personality likable and relatable, but because I think her character's background comes from a place that a lot of kids will be able to see themselves in her in ways that they don't normally get to due to similar life experiences rather than just similar personalities. 
 I'm looking forward to the next book to find out what happens with Amy Gumm and her adventures in Oz! I really want to know! And I want to see more of Amy. 
 I'm also really interested to see what happened to cause Dorothy to become the way she is. There's a lot of speculation and hints in this book, but no concrete answers. So, I'm glad to find out that there is a digital novella that works as a prequel that will tell us this and I'm looking forward to reading that at some point soon, too. Throughout the entire book, you can't help but wonder. Amy wonders, too. It'll be great to get to see it play out. 
 Seriously, don't let my rating or my points about sloppy writing in places, deter you from this book. It's definitely worth reading!",Wed Feb 25 07:27:35 -0800 2015,Sun May 24 18:42:35 -0700 2015,Sun May 24 00:00:00 -0700 2015,Sat Mar 14 00:00:00 -0700 2015,0,0
702695,de8bbbedc701a6fd1a9c7ead1f926bd8,18665033,141171203fc034645cc25684b15d289b,2,"This review originally appeared on Pop Verse. 
 A number of reviews of The Gospel of Loki have talked about it as Joanne Harris's first fantasy novel. I find that baffling. What about Chocolat and its sequel The Lollipop Shoes? They might not have been quite so 'out there' with the fantastical elements, but they did include a little magic. And where there's magic, there's fantasy. Since then, Harris has written Runemarks and Runelight, both set in the world of Norse mythology. So, The Gospel of Loki, hardly a deviation from her usual writing, is more of a natural progression. 
 The Gospel of Loki gave rise to opposing feelings as I was reading. It was both addictive and frustrating, fun and tedious. How could it be both? Well, the character of Loki is fun and the story of the Norse gods (and their demise) is thoroughly entertaining, but the story never quite manages to build outside of its overblown narrative voice. 
 'Change isn't always comfortable, but it is a fact of life' 
 The novel is Loki's telling of the rise and fall of the Norse gods, written after Ragnarok (aka the end of the world). Harris uses the term 'gospel' quite literally. These are teachings, lessons Loki has learned passed on to whoever might read them. With each lesson unfolds part of Loki's story - how he learned such valuable lessons. The story is not one of great mystery - it's based on very old myths, after all. From the beginning, Loki tells the reader that the world has already ended. We know shit is going to get real. The point of the novel is to enjoy the ride up until the downfall. 
 Called out of Chaos by Odin, Loki must adjust to life in the physical realms. While being a sworn brother of Odin's, the other gods despise Loki for the most part. He is never truly one of them, never welcomed or celebrated like one of them. Instead, he makes himself useful to the gods, doing their dirty work. Despite helping the gods out of a bind, time and time again, Loki is still barred from the inner circle. No one ever grows to trust the trickster completely. 
 It becomes a chicken and egg situation - would Loki have been so treacherous if he'd been welcomed by the gods? As payback for their treatment of him, Loki begins plotting against the gods. But their downfall is already written in the stars, Loki only plays the role he was destined to. 
 'There's good news and slightly less good news.' 
 I was really excited to read this novel. Old Norse mythology told from Loki's perspective? That's a brilliant premise for a novel! Immediately you have a narrator with personality and charisma oozing through the page. And it works... up to a point. While having a unique voice is important, Joanne Harris goes too far with The Gospel of Loki. Using 'catchphrases' or other repetitive traits to help define a character can wear thin, and boy does it ever in this novel. There are so many phrases repeated throughout I started to wonder whether she wasn't simply trying to pad the word count (yes, I know, that's slightly unfair, but still...). Some of the repeated expressions the reader must suffer through include 'More of that later', 'Yours Truly', 'Your Humble Narrator', 'Suffice it to Say', and 'I had no choice' or 'What choice did I have?'. 
 If that weren't enough, there's a real problem with the unreliable narrator aspect. I love a good unreliable narrator, but when you have one, it's important to at some point craftily acknowledge to the reader that they shouldn't be believing what they're told. I never found such a moment in the book. Instead, Loki tells us constantly that he's untrustworthy while the prose lacks any clever hints that he might not be telling his readers everything - or the truth. Loki's actions within the story often show him to be every bit the dishonest, trickster god we've heard of, but the story is given to the reader as a straight forward, face value telling of events from his perspective. With something like Lolita or my favourite Edgar Allen Poe short story, A Tell-Tale Heart, there are always points where the reader can see beyond what the narrator is telling them, but that piece is missing in Harris's novel. 
 Despite its flaws, The Gospel of Loki is very readable. The kind of thing you can quickly, easily devour over a weekend. It doesn't require much conscious thought to follow along with the plot and most people should have at least a basic awareness of who most of the characters are already. It's a fun yarn, but it won't be blowing you away with its prose, story structure, or originality. But maybe that's not what you're looking for when enjoying a retelling of well-known myths? 
 Verdict: Good beach or airplane read, but nothing to really get your teeth stuck into. If you have a short fuse for irritating character quirks, steer well clear of this one. 
 *Note: I received a review copy of this title in exchange for an honest review.",Thu May 28 01:47:52 -0700 2015,Mon Jun 22 05:38:39 -0700 2015,Sun May 31 00:00:00 -0700 2015,Thu May 28 00:00:00 -0700 2015,0,0
154625,461ca836bcf7e4f2861b32032f84ccb2,60510,a16bdf8b5b3295ee9e6b16a9a888357f,4,"Convicted of murder, Yelena has lived in the dungeons for a year already. Now when she's supposed to be hanged she's given the option of being the Commander's poisen tester instead. Full of intrigue, friendship, and a bit of romance. It was a great read. A little graphic when describing Yelena being abused.",Tue May 05 19:17:23 -0700 2009,Mon Aug 24 14:14:08 -0700 2009,Mon Aug 24 14:14:08 -0700 2009,,0,0
1079332,84f7dab2280c287363e6dc2b946d27e5,6289283,6388d3a5ad031ddde03b62bf276cb577,5,"A great, inspiring read, full of humor, fascinating characters to look up to and beautiful places I'd die to run in. A running book about the art of running, it doesn't set out to offer any recipes, but rather to explore the whole idea of running and maybe point out a few interesting doors runners (and future runner :) ) might consider having a peak behind: from vegetarian/vegan nutrition in sports, running form and style, connection to nature, to why we run in the first place, what's the deal with running shoes versus foot strength and running injuries.",Wed Jul 27 01:04:07 -0700 2016,Wed Nov 23 23:59:29 -0800 2016,Wed Nov 23 00:00:00 -0800 2016,Thu Oct 27 00:00:00 -0700 2016,0,0
1136930,79743d8845fa3ef00b263af4aff563e9,25760151,222bc7a703a66a44b397ed760be26d6b,3,"More reviews available at my blog, Beauty and the Bookworm. 
 In the Unapologetic Romance Readers' group, we're doing a reading challenge where one of the categories is ""An African American romance."" And since February is Black History Month, we decided that it would be a great time to tackle the category as a group! One member put forth Temptation as the nomination for the category, and it was pretty unanimously agreed upon, and so on we went. 
 In the years after the Civil War, former slave Rhine moves west to Virginia City, Nevada, where he starts up a new life passing for white. Meanwhile, Eddy Carmichael dreams of leaving Denver, Colorado for California, where she wants to set up her own restaurant. Unfortunately, Eddy's plans fall apart when she's robbed and left for dead in the desert in the midst of her journey. Rhine finds her and rescues her, taking her back to Virginia City and helping get her healthy again. After a few days, Eddy is transplanted to a boarding house owned by Sylvia Stewart, another woman of color, where she signs on as a cook to rebuild the money she needs to go to California and start her restaurant. But there lingers an attraction between Rhine and Eddy, one that's problematic for two reasons. One, Rhine is passing for white, while Eddy is very obviously a woman of color, and while some people in Virginia City are accepting, others remain entrenched in the racism of the antebellum era. And two, Rhine is already engaged. To a white woman. Whoops. 
 There are a few strengths to this book. The time, place, and premise are all strong--the tug of attraction across (presumed) racial lines, Rhine's desire to both be with Eddy and help ""his"" people in ways he couldn't if he wasn't passing as white, and the setting of the antebellum period in the West, rather than in the South (where even this premise probably would have resulted in someone being killed) all lend this a great degree of depth. The side characters are also well-done, with all of them having backgrounds and places in the story that serve as more than just window dressings for the main characters to flit between. 
 The book's great weakness, though, is the writing. It is very ""tell"" and hardly any ""show,"" and consequently I didn't find it engaging at all. I understand that Jenkins is trying to convey an immense amount of information about time, place, and background, but the result is that it doesn't come across as an immersive experience. The writing was just too jerky to keep me fully engaged in the story and what was happening between the characters. The other, great elements of the book were enough to persuade me to keep reading and finish the book, but the overall flow just wasn't there. There was inconsistency on some details, too--for example, Eddy's last name appears to change from Carmichael to Cunningham and back again. It's not enough to turn me off Jenkins entirely--I have another of her books, Through the Storm, that I was supposed to read in 2016 but never got around to--but I wasn't terribly impressed with this as a first offering in the writing department, especially not for a book that was named the American Library Association's Romance of the Year. 
 3 stars out of 5.",Mon Aug 22 09:02:54 -0700 2016,Mon Apr 24 07:56:13 -0700 2017,Mon Feb 13 07:53:22 -0800 2017,Sun Feb 12 13:47:50 -0800 2017,1,1
877711,4327bb8d5abc4ea53fcd3bdf693aeacb,13418864,72a7e052a9515376c36411daeeed6b07,4,"Review Taken From The Pewter Wolf 
 Emily Morgan keeps her powers of being an air Elemental a secret. She knows what happens to people who flaunt their powers. As she works on a summer job, she gets in connect with Michael Merrick, an earth Elemental. He could level cities and cause earthquakes if he wasn't careful. Which makes him sexy. And extremely dangerous. 
 But they get drawn to each other. And Emily's family don't just want Michael to stay away from Emily. They want him dead. 
 Now this is a prequel that's set 5 years before the events of Storm takes place, so it was really a taster - a teaser - of what this series is about. And I really liked it. It was a fast read and, though I read it over two days, when you think how much time I spent on it, it was only really an hour. Maybe even less than that. 
 This is a set up story where we get to feel out what it's like to be an Elemental. I'm pretty sure Storm will tackle this further (and yeah, I have it on my kindle so I know what I'll be doing next time the UK gets a thunderstorm!). I do like this story and I can't wait to find time to read Storm!",Tue Jun 05 16:07:36 -0700 2012,Fri Jun 29 14:10:17 -0700 2012,Thu Jun 07 00:00:00 -0700 2012,Wed Jun 06 00:00:00 -0700 2012,0,0
392480,4362d7924ff5561c2a228c4eab881d02,5598113,e7462a4128d8f718c641a21a5ab47457,3,"Not really much to say- it's certainly fluffy. I'm over my love of weddings, but it was a fun couple of hours. Fairly engaging (if pretty stock) characters, and they certainly are committed to the whole idea that a wedding somehow means happily ever after. I guess I've got to give them credit for optimism, if nothing else. 
 There seems to be an incredible overabundance of remarkably beautiful and sexy people in a fairly small town. 
 Nora Roberts definitely knows her business- she gives the reader exactly what they expect. I can already pretty much figure out who wedding planner 2, 3 and 4 will end up with, but I guess that's the charm of this type of novel. 
 And I'll probably read the rest of them at some point when I want to take a break, so kudos to her.",Wed Jan 11 18:15:32 -0800 2017,Wed Jan 11 18:21:20 -0800 2017,Wed Jan 11 00:00:00 -0800 2017,Wed Jan 11 00:00:00 -0800 2017,2,0
1068978,a0358d2c6cff14a693e02bf3d9344b72,24765,0e0871d7d936f2bbfc51db33c43c23ab,0,"Amazing! I loved it. Although it is very sad and more serious than previous books, I loved every second of it.",Mon Feb 27 16:07:39 -0800 2017,Sat Mar 11 05:35:34 -0800 2017,Sat Mar 04 00:00:00 -0800 2017,Sat Mar 04 00:00:00 -0800 2017,0,0
216788,3b03b0e3350e312351cb0c5e7899a1f0,3754399,7c349c7005bef9d3ac25064a0ce37a5e,4,"I picked up House of Mystery because it was recommended to people who enjoyed Fables, and I can see the appeal. The concept is one of almost existential horror. Five people end up in a strange house, and they cannot leave its grounds. Essentially, they are trapped in a nightmare they can't wake up from. I have had those dreams where I can never get where I'm supposed to go, no matter how many diversions in direction I make. Finally I wake up out of sheer frustration and the futility of the effort. I liken the feeling of this to how the characters must have felt (or still do). 
 Inside the house is a bar where all sorts of beings (many not remotely human) can enter and drink and eat, and they can leave. They pay for their drinks by telling a story of their choice. The drama of this piece is processing the stories of the visitors, and learning why the five characters ended up in the house. 
 The newbie is Fig, and she has a very strange connection to the house. She designed it, in fact. A house of her dreams that she was told by her professor didn't make sense. Yet here it is. Despite the fact, she wants out of the house. She'll learn that she's not alone, but the other four have accepted the fact that they won't be leaving the house anytime soon. 
 The House of Mystery is a cleverly constructed creation in which this strange house and its trapped denizens set the framework for the explication of other stories, told by the visitors to the bar within the house. The stories are varied in tone. One in particular was very gruesome, bringing back memories of dealing with such a situation in real-life veterinary practice. Another takes a very different look at fairy tale princesses and their search for their true love prince--a jaundiced one at that. One is about a mafia assassin who gets the best of his would-be murderers. It's hard to pin these into one genre except by calling the sum total speculative fiction. The artwork conveys much in each story, and about the house and the five people who are trapped within it. This is one of those graphic novels where I trained my eye to examine everything in the picture, so I didn't miss anything important to the story. I liked that different drawing styles and inking/coloration, and lettering techniques are used in each story to convey a narrator change and also the distinct tone of each story. 
 It's hard to say exactly how I feel about this overall. 'Like' isn't the right word. Let's say I appreciate it for what it is, thus the four star rating. While not all the stories were to my personal taste, I was left with an overall positive feeling towards this graphic novel, and my interest has been perked in continuing this series.",Thu Aug 01 21:01:25 -0700 2013,Thu Aug 22 23:37:51 -0700 2013,Wed Aug 21 00:00:00 -0700 2013,Wed Aug 21 00:00:00 -0700 2013,10,2
978513,9035d87f0a0374747164433ec1923bdb,22826126,89b112683fa0f2fdab9378ca65e9d3fb,5,"I read a lot more fantasy than science fiction so it's always a little hard for me to get into a science heavy book, but this one pulled me right in with its great cast of characters. 
 I like the end of the world scenario with out it being humanities fault. 
 My only complaint is that the end is so open. There is so much more than NEEDS to be said, but there doesn't look like there will be a sequel and that just sucks.",Wed May 18 09:42:35 -0700 2016,Wed May 25 06:31:54 -0700 2016,Wed May 25 06:31:54 -0700 2016,Wed May 18 00:00:00 -0700 2016,0,0
1102149,4f5e21f30fb8399885b3a2dd913f7b07,234225,5db7c43f380762a5fee13202bd91d778,4,"Duke Leto Atreides knows Arrakis is a trap, but he must enter it regardless. Onto this dangerous planet which is the only place one can find the much-treasured spice, he brings his beloved concubine, Jessica, and his son and heir Paul as well as his many trusted advisors - one of whom is a traitor planted by his enemy Baron Vladimir Harkkonen. 
 While the story is set on a non-Earth planet, with laser weapons, invisible personal shields, spaceships and other typically science fiction fare, it also features typically fantasy devices like prophecies, hand to hand combat, and nomadic people. The two genres mesh together wonderfully, mixing it up spiritually, politically, even environmentally. There's so many layers to the world building you can't help but feel impressed. 
 I was a bit disappointed by the way Herbert told the reader virtually from the start who was the traitor, it did create more sympathy for certain characters (sorry for the vagueness, trying not to make spoilers), but i feel it would have been more fun/suspenseful if we hadn't known immediately, before any treachery was even wrought. 
 I did love the fact that most of the women portrayed in the story were strong and fleshed-out. The political plays were interesting, complex but not to the point where you couldn't make sense of it all. 
 Also I was a bit weirded out by the normal sounding names of Paul and Jessica thrown in amongst all the more unusual names. Not a big issue, just a random 'huh?' moment. 
 Ending related spoiler here: 
 (view spoiler)[I did feel a touch jipped at the end after all the wind-up of Thufir thinking Jessica was the traitor and they were going to meet at the end and I was expecting some ka-blewy action, but then that sub-plot fizzled at the end. (hide spoiler)] Apart from that the ending was intriguing and satisfying. 
 I can definitely see how this is a bestselling book and recommend it for science fiction fans, fantasy lovers and people who dig political intrigue.",Thu Jul 24 23:52:57 -0700 2014,Fri Jul 25 01:32:06 -0700 2014,Wed Jun 25 00:00:00 -0700 2014,,1,2
